-2.083096589817342581e-01,3.647598003508610298e-01,-7.844296781738947788e-02
-2.131033959039080883e-01,3.795768053830346767e-01,-5.185951761260747944e-02
-2.017727449969518028e-01,3.826273652425997707e-01,-5.447428320652046574e-02
-2.000295679343431499e-01,3.878568964304257016e-01,-6.057540292565076478e-02
-2.017727449969518028e-01,3.943938104152081570e-01,-7.539240795782431448e-02
-1.904420940899955450e-01,3.856779251021649757e-01,-5.011634054999883348e-02
-1.956716252778215037e-01,3.943938104152081570e-01,-3.050559859565146401e-02
-2.000295679343431499e-01,3.778336283204259960e-01,-6.711231691043320624e-02
-2.026443335282561431e-01,3.673745659447740786e-01,-4.314363229956420104e-02
-2.009011564656474902e-01,3.630166232882524047e-01,-5.534587173782479219e-02
-2.113602188412994076e-01,3.599660634286871996e-01,-5.098792908130316687e-02
-1.913136826212998853e-01,3.874211021647735453e-01,-5.491007747217260815e-02
-1.948000367465172189e-01,3.787052168517302531e-01,-2.658345020478198803e-02
-2.205118984199948562e-01,4.532260362782503105e-01,-6.319016851956374414e-02
-2.706282389699936619e-01,3.930864276182516326e-01,-5.229531187825964267e-02
